OBJECTID,WNUMBER,Lidar_Elev,TOTALDEPTH,Qu_top,Qu_height,TQsu_top,TQsu_height,TQu_top,TQu_height,Tc_top,Tc_height,Thpb_top,Thpb_height,Th_Undiff_top,Th_Undiff_height,Thc_top,Thc_height,That_top,That_height,Ts_top,Ts_height,To_top,To_height,Tap_top,Tap_height,unit_order,lat,long
1,707,66.66156006,340,0,20,999,999,999,999,999,999,999,999,-20,22,999,999,999,999,-42,63,-105,155,-260,80,"Qu,Th,Ts,To,Tap",28.47922988,-82.45075949
4,708,67.78105927,251,-1,29,999,999,999,999,999,999,999,999,-30,10,999,999,999,999,-40,40,-80,155,-235,16,"Qu,Th,Ts,To,Tap",28.48020029,-82.45404479
5,994,36.67913818,999,0,20,999,999,999,999,999,999,999,999,-20,30,999,999,999,999,999,999,-50,180,-230,769,"Qu,Th,To,Tap",28.47376957,-82.54722441
6,1442,144.5711517,999,0,40,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-40,130,-170,829,999,999,"Qu,Ts,To",28.5069582,-82.25430592
7,2199,249.501358,230,0,65,999,999,999,999,999,999,999,999,-65,15,999,999,-80,50,-130,100,999,999,999,999,"Qu,Th,That,Ts",28.41154083,-82.27098198
8,2225,70.60540771,68,0,10,999,999,999,999,999,999,999,999,-10,58,999,999,999,999,999,999,999,999,999,999,"Qu,Th",28.48594774,-82.26169272
9,2226,70.60540771,94,0,30,999,999,999,999,999,999,999,999,-30,35,999,999,999,999,-65,29,999,999,999,999,"Qu,Th,Ts",28.48594812,-82.26169339
10,2227,70.60540771,176,0,15,999,999,999,999,999,999,999,999,-15,153,999,999,999,999,-168,8,999,999,999,999,"Qu,Th,Ts",28.48594446,-82.26169552
11,2449,71.07567596,95,0,35,999,999,999,999,999,999,999,999,-35,60,999,999,999,999,999,999,999,999,999,999,"Qu,Th",28.4859219,-82.26171934
12,2450,70.87509155,106,0,10,999,999,999,999,999,999,999,999,-10,96,999,999,999,999,999,999,999,999,999,999,"Qu,Th",28.48592538,-82.26167458
13,2451,70.87509155,208,-20,70,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-90,118,999,999,999,999,"Qu,Ts",28.48592538,-82.26167458
14,3675,87.66638947,820,0,55,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-55,135,-190,630,"Qu,To,Tap",28.50968059,-82.17685222
15,3965,227.951004,180,0,45,999,999,999,999,999,999,999,999,-45,65,999,999,-110,70,999,999,999,999,999,999,"Qu,Th,That",28.37748333,-82.28038889
16,4410,84.83084106,"1,300.00",0,35,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-35,155,-190,"1,110.00","Qu,To,Tap",28.51220344,-82.17638024
17,4989,99.65787506,999,0,21,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-21,139,-160,839,"Qu,To,Tap",28.47599526,-81.96981772
18,5101,78.25149536,358,0,15,999,999,999,999,999,999,999,999,-15,10,999,999,999,999,-25,35,-60,170,-230,128,"Qu,Th,Ts,To,Tap",28.49676894,-82.42434862
19,5486,36.13810349,170,0,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-30,105,-135,35,999,999,"Qu,Ts,To",28.48661012,-82.59827856
20,5608,142.0228729,207,999,999,999,999,999,999,999,999,999,999,-5,80,999,999,999,999,-85,122,999,999,999,999,"Th,Ts",28.53314136,-82.39392932
21,5694,112.8974533,200,0,25,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-25,100,-125,75,999,999,"Qu,Ts,To",28.51999548,-82.30008942
22,5760,95.29582214,109,0,5,999,999,999,999,999,999,999,999,-5,30,999,999,999,999,-35,74,999,999,999,999,"Qu,Th,Ts",28.3787646,-82.19262069
23,5866,158.4964905,565,0,50,999,999,999,999,999,999,999,999,-50,55,999,999,999,999,-105,190,-295,175,-470,95,"Qu,Th,Ts,To,Tap",28.39229859,-82.27228673
24,5942,211.8943939,610,0,50,999,999,999,999,999,999,999,999,-50,40,999,999,999,999,-90,210,-300,140,-440,170,"Qu,Th,Ts,To,Tap",28.39323055,-82.27741692
25,6470,71.38045502,145,999,999,999,999,999,999,999,999,999,999,-10,50,999,999,999,999,-60,15,-75,70,999,999,"Th,Ts,To",28.46490218,-82.19430416
26,6556,106.382019,223,-10,20,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-30,130,-160,63,999,999,"Qu,Ts,To",28.47999992,-82.32082995
27,6562,95.50734711,420,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,130,-130,190,-320,100,"Ts,To,Tap",28.53286428,-82.40621369
28,6627,58.26625824,158.5,0,25,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-25,133.5,999,999,"Qu,To",28.47196973,-82.44265635
29,7435,93.75783539,270,0,15,999,999,999,999,999,999,999,999,-15,20,999,999,999,999,-35,115,-150,120,999,999,"Qu,Th,Ts,To",28.46376134,-82.36746237
30,7436,4.57715464,165,-5,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-35,130,999,999,"Qu,To",28.54327152,-82.61250363
31,7437,4.57715464,155,-10,22,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-32,123,999,999,"Qu,To",28.54327152,-82.61250363
32,7438,4.57715464,160,0,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-10,10,-20,140,999,999,"Qu,Ts,To",28.54327152,-82.61250363
33,7439,4.57715464,165,0,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-10,13,-23,142,999,999,"Qu,Ts,To",28.54327152,-82.61250363
34,7463,66.23234558,81.5,999,999,999,999,999,999,999,999,999,999,0,25,999,999,999,999,-25,56.5,999,999,999,999,"Th,Ts",28.42737478,-82.4661967
35,7732,70.95048523,185,0,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-10,175,999,999,"Qu,To",28.48494636,-82.17361818
36,7762,1.0844183,195,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,120,-120,75,999,999,"Ts,To",28.45101944,-82.66256667
37,7763,6.79802084,246,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,120,-120,126,999,999,"Ts,To",28.45278022,-82.65065154
38,7767,24.45136452,94,0,14,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-14,65,-79,15,999,999,"Qu,Ts,To",28.52061995,-82.5685421
39,7768,35.9078598,260,0,42,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-42,17,-59,161,-220,40,"Qu,Ts,To,Tap",28.53435462,-82.5320325
40,7801,75.55612946,86,0,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-10,76,999,999,"Qu,To",28.45474034,-82.08617816
41,7828,100.4253464,72,999,999,999,999,999,999,999,999,999,999,0,35,999,999,999,999,-35,37,999,999,999,999,"Th,Ts",28.4436615,-82.37035471
42,7893,107.2018967,446,999,999,999,999,999,999,999,999,999,999,0,446,999,999,999,999,999,999,999,999,999,999,Th,28.5410393,-82.35979035
43,8021,74.76501465,999,0,60,999,999,999,999,999,999,999,999,-60,35,999,999,999,999,-95,904,999,999,999,999,"Qu,Th,Ts",28.52471721,-82.31518991
44,8040,29.90415001,200,0,65,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-65,50,-115,85,999,999,"Qu,Ts,To",28.45746277,-82.61102761
45,8140,72.78769684,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-235,764,Tap,28.52473056,-82.23037778
46,8168,34.39429855,373,999,999,999,999,999,999,999,999,999,999,0,70,999,999,999,999,-70,60,-130,140,-270,103,"Th,Ts,To,Tap",28.45648566,-82.61197194
47,8188,72.33927155,"6,209.00",0,25,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-25,145,-170,"6,039.00","Qu,To,Tap",28.52862664,-82.2304163
48,8357,97.65709686,285,0,10,999,999,999,999,999,999,999,999,-10,20,999,999,999,999,-30,255,999,999,999,999,"Qu,Th,Ts",28.44246903,-82.37261
49,8426,147.69,209,0,5,999,999,999,999,999,999,999,999,-5,25,999,999,-30,5,-35,160,-195,14,999,999,"Qu,Th,That,Ts,To",28.439475,-82.32681111
50,8427,6.14252567,205,0,45,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-45,23,-68,137,999,999,"Qu,Ts,To",28.5352457,-82.59693094
51,8429,90.55426025,105,999,999,999,999,999,999,999,999,999,999,0,20,999,999,999,999,-20,85,999,999,999,999,"Th,Ts",28.53617618,-82.40218459
52,8508,73.93000031,175,0,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-10,90,-100,75,999,999,"Qu,Ts,To",28.53040784,-82.33996869
53,8604,83.30273438,208,999,999,999,999,999,999,999,999,999,999,-10,30,999,999,999,999,-40,80,-120,50,-170,38,"Th,Ts,To,Tap",28.53977938,-82.40587702
54,8699,6.14252567,260,0,40,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-40,25,-65,138,-203,57,"Qu,Ts,To,Tap",28.5352457,-82.59693094
55,8840,73.20533752,250,0,15,999,999,999,999,999,999,999,999,-15,45,999,999,-60,30,-90,50,-140,60,-200,50,"Qu,Th,That,Ts,To,Tap",28.40342317,-82.19759065
56,10298,105.3662415,100,-5,25,999,999,999,999,999,999,999,999,-30,40,999,999,-70,10,-80,20,999,999,999,999,"Qu,Th,That,Ts",28.47277778,-82.25138889
57,10299,206.6112213,325,0,5,999,999,999,999,999,999,999,999,-5,95,999,999,999,999,-100,170,-270,55,999,999,"Qu,Th,Ts,To",28.52737778,-82.39348611
58,10302,76.88303375,105,0,40,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-40,65,999,999,"Qu,To",28.54073631,-82.52483213
59,10319,101.1152191,240,0,65,999,999,999,999,999,999,999,999,-65,18,999,999,999,999,-83,37,-120,120,999,999,"Qu,Th,Ts,To",28.54252322,-82.51870198
60,10352,23.90886497,286,0,40,999,999,999,999,999,999,999,999,-40,10,999,999,999,999,-50,90,-140,146,999,999,"Qu,Th,Ts,To",28.44658515,-82.60677871
61,10354,66.65718079,330,0,20,999,999,999,999,999,999,999,999,-20,45,999,999,999,999,-65,75,-140,125,-265,65,"Qu,Th,Ts,To,Tap",28.4646879,-82.51256243
62,10356,36.41521454,354,0,50,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-50,70,-120,140,-260,94,"Qu,Ts,To,Tap",28.4556137,-82.60886584
63,10357,58.72964478,335,0,45,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-45,110,-155,180,999,999,"Qu,Ts,To",28.47013968,-82.52692185
64,10396,156.4957123,203,0,40,999,999,999,999,999,999,999,999,-40,55,999,999,999,999,999,999,-95,108,999,999,"Qu,Th,To",28.52131968,-82.26345532
65,10464,83.00721741,136,0,20,999,999,999,999,999,999,999,999,-20,50,999,999,999,999,-70,60,-130,6,999,999,"Qu,Th,Ts,To",28.52499573,-82.23453541
66,10467,58.32370758,65,0,35,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-35,30,999,999,999,999,"Qu,Ts",28.48761227,-82.19740765
67,10534,71.36022949,150,0,60,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-60,90,999,999,"Qu,To",28.50417768,-82.19123167
68,10618,83.45532227,360,0,10,999,999,999,999,999,999,999,999,-10,100,999,999,999,999,999,999,-110,85,-195,165,"Qu,Th,To,Tap",28.46031453,-82.17467267
69,10683,114.9674072,445,999,999,999,999,999,999,999,999,999,999,0,25,999,999,999,999,-25,125,-150,135,-285,160,"Th,Ts,To,Tap",28.50439046,-82.33155507
70,10686,65.87993622,115,0,30,999,999,999,999,999,999,999,999,-30,7,999,999,999,999,999,999,-37,78,999,999,"Qu,Th,To",28.50688332,-82.17988426
71,10742,84.91314697,195,999,999,999,999,999,999,999,999,999,999,-10,45,999,999,999,999,-55,75,-130,65,999,999,"Th,Ts,To",28.42360054,-82.19141315
72,11121,35.19016266,418,0,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-30,70,-100,160,-260,158,"Qu,Ts,To,Tap",28.49928933,-82.55943794
73,11209,75.82596588,999,0,60,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-60,65,-125,874,999,999,"Qu,Ts,To",28.51473558,-82.47691873
74,11222,101.6868668,280,0,90,999,999,999,999,999,999,999,999,-90,70,999,999,999,999,-160,10,-170,110,999,999,"Qu,Th,Ts,To",28.48599962,-82.32782492
75,11262,89.67433167,60,0,15,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-15,45,999,999,"Qu,To",28.48574089,-82.05469945
76,11287,36.41521454,350,0,40,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-40,80,-120,145,-265,85,"Qu,Ts,To,Tap",28.4556137,-82.60886584
77,11292,76.4172821,999,0,20,999,999,999,999,999,999,999,999,-20,20,999,999,999,999,-40,50,-90,909,999,999,"Qu,Th,Ts,To",28.5419316,-82.46515176
78,11293,96.91556549,999,0,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-30,969,999,999,999,999,"Qu,Ts",28.54100456,-82.45878929
79,11364,131.7025604,360,-10,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-20,170,-190,170,-360,0,"Qu,Ts,To,Tap",28.39761831,-82.34437527
80,11593,69.31219482,140,0,60,999,999,999,999,999,999,999,999,-60,20,999,999,999,999,-80,60,999,999,999,999,"Qu,Th,Ts",28.45747652,-82.18790082
81,11779,87.63448334,110,999,999,999,999,999,999,999,999,999,999,0,30,999,999,999,999,-30,80,999,999,999,999,"Th,Ts",28.38334539,-82.19569588
82,12003,69.63602448,886,999,999,999,999,999,999,999,999,999,999,0,60,999,999,999,999,999,999,-60,150,-210,676,"Th,To,Tap",28.52931721,-82.29250326
83,12367,45.760952,395,0,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-30,105,-135,140,-275,120,"Qu,Ts,To,Tap",28.45570751,-82.55939657
84,13292,66.9718399,330,0,45,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-45,55,-100,165,-265,65,"Qu,Ts,To,Tap",28.47014481,-82.4447194
85,13583,8.75834465,72,0,15,999,999,999,999,999,999,999,999,999,999,999,999,-15,20,-35,37,999,999,999,999,"Qu,That,Ts",28.38555245,-82.66923869
86,13743,88.86967468,170,0,30,999,999,999,999,999,999,999,999,-30,40,999,999,-70,15,-85,85,999,999,999,999,"Qu,Th,That,Ts",28.44686113,-82.28821065
87,13799,67.91880035,700,0,50,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-50,150,-200,500,999,999,"Qu,Ts,To",28.38654044,-82.4772608
88,13900,62.46621704,490,0,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-30,170,-200,290,999,999,"Qu,Ts,To",28.37745418,-82.47109542
89,13901,66.25266266,640,0,35,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-35,145,-180,160,-340,300,"Qu,Ts,To,Tap",28.42009511,-82.51146305
90,13909,103.5332871,140,0,10,999,999,999,999,999,999,999,999,-10,30,999,999,999,999,-40,100,999,999,999,999,"Qu,Th,Ts",28.41250386,-82.24512412
91,13970,66.36049652,502,0,45,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-45,105,-150,110,-260,242,"Qu,Ts,To,Tap",28.39742936,-82.54323067
92,13973,66.36049652,700,0,40,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-40,110,-150,150,-300,400,"Qu,Ts,To,Tap",28.39742936,-82.54323067
93,14220,62.69645309,706,999,999,999,999,999,999,999,999,999,999,0,25,999,999,999,999,-25,681,999,999,999,999,"Th,Ts",28.41753786,-82.45481843
94,14221,67.34260559,707,0,20,999,999,999,999,999,999,999,999,-20,15,999,999,999,999,-35,120,-155,135,-290,417,"Qu,Th,Ts,To,Tap",28.41368737,-82.45474017
95,14350,67.5320282,705,0,50,999,999,999,999,999,999,999,999,999,999,999,999,-50,20,-70,135,-205,150,-355,350,"Qu,That,Ts,To,Tap",28.39116972,-82.47220442
96,14351,61.64783096,700,999,999,999,999,999,999,999,999,999,999,0,27,999,999,999,999,-27,153,-180,115,-295,405,"Th,Ts,To,Tap",28.41125848,-82.46181733
97,14628,111.5934906,400,0,60,999,999,999,999,999,999,999,999,-60,10,999,999,999,999,-70,80,-150,155,-305,95,"Qu,Th,Ts,To,Tap",28.51468246,-82.51005269
98,14673,31.36053276,355,0,25,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-25,110,-135,180,-315,40,"Qu,Ts,To,Tap",28.43493501,-82.5827035
99,14741,72.15650177,710,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-20,40,-60,220,-280,430,"Ts,To,Tap",28.41162156,-82.44756493
100,14743,69.99411011,710,0,20,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-20,190,-210,210,-420,290,"Qu,Ts,To,Tap",28.39842819,-82.44483771
101,14794,65.51953125,710,999,999,999,999,999,999,999,999,999,999,0,25,999,999,999,999,-25,125,-150,170,-320,390,"Th,Ts,To,Tap",28.40450389,-82.46379742
102,14796,58.15147781,630,-10,15,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-25,95,-120,180,-300,330,"Qu,Ts,To,Tap",28.41176254,-82.45877931
103,14801,89.59305573,225,0,60,999,999,999,999,999,999,999,999,-60,20,999,999,999,999,999,999,-80,70,-150,75,"Qu,Th,To,Tap",28.48568034,-82.04663726
104,14904,74.88581085,710,0,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-30,170,-200,170,-370,340,"Qu,Ts,To,Tap",28.38555479,-82.46887442
105,14911,69.78427124,700,999,999,999,999,999,999,999,999,999,999,0,10,999,999,999,999,-10,240,-250,190,-440,260,"Th,Ts,To,Tap",28.37627324,-82.47751464
106,14998,63.48010254,143,999,999,999,999,999,999,999,999,999,999,0,80,999,999,999,999,-80,63,999,999,999,999,"Th,Ts",28.41191351,-82.47747294
107,15063,69.63602448,410,0,10,999,999,999,999,999,999,999,999,-10,70,999,999,999,999,999,999,-80,225,-305,105,"Qu,Th,To,Tap",28.52931721,-82.29250326
108,15200,21.02641678,90,0,21,999,999,999,999,999,999,999,999,999,999,999,999,-21,19,-40,50,999,999,999,999,"Qu,That,Ts",28.39682183,-82.65793752
109,15202,50.77642059,290.5,0,30,999,999,999,999,999,999,999,999,-30,15,999,999,999,999,-45,25,-70,170,-240,50.5,"Qu,Th,Ts,To,Tap",28.47015373,-82.54313927
110,15585,78.35310364,49,0,27,999,999,999,999,999,999,999,999,-27,10,999,999,999,999,999,999,-37,12,999,999,"Qu,Th,To",28.46046863,-82.08571
111,15586,82.07785797,28.6,999,999,999,999,999,999,999,999,999,999,-7,20,999,999,-27,1.6,999,999,999,999,999,999,"Th,That",28.40226017,-82.08759804
112,15587,70.32294464,28.6,999,999,999,999,999,999,999,999,999,999,-9.6,13.4,999,999,999,999,-23,5.6,999,999,999,999,"Th,Ts",28.41901873,-82.11671799
113,15588,116.9595795,51,999,999,999,999,999,999,999,999,999,999,-10.6,40.4,999,999,999,999,999,999,999,999,999,999,Th,28.37508497,-82.15956499
114,15590,85.94285583,999,0,16.1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-16.1,982.9,999,999,"Qu,To",28.51413611,-82.05405833
115,15591,89.99358368,99,999,999,999,999,999,999,999,999,999,999,-5,44,999,999,999,999,999,999,-49,50,999,999,"Th,To",28.44222256,-82.05063503
116,15593,97.48086548,40,-5,31,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-36,4,999,999,"Qu,To",28.4780549,-81.9761888
117,15594,95.15909576,999,0,3,999,999,999,999,-3,9,999,999,999,999,999,999,999,999,999,999,-12,987,999,999,"Qu,Tc,To",28.4380565,-81.98896624
118,15595,91.60894012,21.27,0,1,999,999,999,999,999,999,999,999,-1,9,999,999,999,999,999,999,-10,11.27,999,999,"Qu,Th,To",28.40765833,-82.00075278
119,15620,95.26109314,999,999,999,999,999,999,999,0,34,999,999,999,999,999,999,999,999,999,999,-34,965,999,999,"Tc,To",28.38344167,-81.96531389
120,15622,96.19191742,999,999,999,999,999,999,999,0,33,999,999,999,999,999,999,999,999,999,999,-33,966,999,999,"Tc,To",28.41276888,-81.9713318
121,15623,95.19816589,999,999,999,999,999,999,999,0,13,999,999,999,999,999,999,999,999,999,999,-13,986,999,999,"Tc,To",28.45454722,-81.99320556
122,15624,93.12999725,52.5,0,49.5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-49.5,3,999,999,"Qu,To",28.47112778,-81.99585278
123,15625,97.03295898,39,0,31.8,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-31.8,7.2,999,999,"Qu,To",28.51493333,-81.96500833
124,15649,5.95137787,814,0,5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-5,125,-130,150,-280,534,"Qu,Ts,To,Tap",28.45009278,-82.65302323
125,15802,18.24234962,805,0,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-10,135,-145,140,-285,520,"Qu,Ts,To,Tap",28.43652177,-82.63871343
126,15933,300.1853332,402,0,152,999,999,999,999,999,999,-152,-148,-4,148,999,999,-152,88,-240,105,-345,57,999,999,"Qu,Thpb,Th,That,Ts,To",28.42743322,-82.26163392
127,16253,75.08879089,999,0,24.5,999,999,999,999,999,999,999,999,999,999,-24.5,25,999,999,999,999,-49.5,949.5,999,999,"Qu,Thc,To",28.50950833,-82.18109444
128,16273,29.49822807,36,-3,26.5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-29.5,6.5,999,999,999,999,"Qu,Ts",28.51138383,-82.55037347
129,16304,63.4034996,534,0,22,999,999,999,999,999,999,999,999,-22,32,999,999,999,999,999,999,-54,145,-199,335,"Qu,Th,To,Tap",28.4718388,-82.19693853
130,16312,67.50313568,20,0,12,999,999,999,999,999,999,999,999,-12,2.75,999,999,999,999,-14.75,5.25,999,999,999,999,"Qu,Th,Ts",28.46831589,-82.44678045
131,16313,67.50313568,27.5,0,22.5,999,999,999,999,999,999,999,999,-22.5,3.5,999,999,999,999,-26,1.5,999,999,999,999,"Qu,Th,Ts",28.46831589,-82.44678045
132,16314,67.50313568,23,0,15.25,999,999,999,999,999,999,999,999,-15.25,6.75,999,999,999,999,-22,1,999,999,999,999,"Qu,Th,Ts",28.46831589,-82.44678045
133,16315,67.50313568,25,0,16,999,999,999,999,999,999,999,999,-16,4,999,999,999,999,-20,5,999,999,999,999,"Qu,Th,Ts",28.46831589,-82.44678045
